,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
65,NA,313,1,South Africa,Johannesburg,22-01-2012,field,Sri Lanka,New Wanderers Stadium,South Africa,Sri Lanka,49.6,303,7,0,0,2,9,312,3,0,0,0,1,0,4
66,NA,313,2,Sri Lanka,Johannesburg,22-01-2012,field,Sri Lanka,New Wanderers Stadium,South Africa,Sri Lanka,49.5,293,8,1,0,12,21,314,7,0,1,0,0,0,8
67,NA,314,1,Sri Lanka,,10/8/2011,bat,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,Australia,41.1,186,2,0,0,3,5,191,7,0,3,0,0,0,10
68,NA,314,2,Australia,,10/8/2011,bat,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,Australia,38.1,189,2,0,0,1,3,192,1,0,2,0,0,0,3
69,NA,315,1,Sri Lanka,Hambantota,14-08-2011,bat,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Australia,49.3,197,8,1,0,2,11,208,8,0,1,1,0,0,10
70,NA,315,2,Australia,Hambantota,14-08-2011,bat,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Australia,38.2,198,10,1,0,2,13,211,1,0,1,0,0,0,2
71,NA,316,1,Sri Lanka,Hambantota,16-08-2011,field,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Australia,49.7,272,10,0,0,4,14,286,6,0,1,2,0,0,9
72,NA,316,2,Australia,Hambantota,16-08-2011,field,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Australia,44.2,188,9,1,4,6,20,208,4,1,4,0,1,0,10
73,NA,317,1,Sri Lanka,Colombo,20-08-2011,bat,Sri Lanka,R Premadasa Stadium,Sri Lanka,Australia,38.4,118,4,0,0,10,14,132,3,1,2,3,0,1,10
74,NA,317,2,Australia,Colombo,20-08-2011,bat,Sri Lanka,R Premadasa Stadium,Sri Lanka,Australia,27.6,125,2,0,0,6,8,133,4,0,1,0,0,0,5
